Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i1024-o1024.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i1024-o256.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i1024-o4096.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i1024-o64.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i256-o1024.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i256-o256.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i256-o4096.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i256-o64.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i4096-o1024.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i4096-o256.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i4096-o4096.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i4096-o64.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i64-o1024.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i64-o256.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i64-o4096.json
GuideLLM data not in json output format, Trying CSV ...
Processing file: /Users/tantawi/Projects/llm-inferno/model-trainer/scripts/../experiments/exp1/data/sweep-i64-o64.json
GuideLLM data not in json output format, Trying CSV ...
Optimization completed. Objective value: 3.006843
  rps 	 inToken 	 outToken 	 TTFTMeas 	 TTFTPred 	 ITLMeas 	 ITLPred 	
  0.15 	   960.63 	   973.89 	    36.31 	    33.90 	     6.76 	     7.02 	 
  0.86 	  1028.16 	  1049.14 	    44.54 	    36.73 	     7.62 	     7.73 	 
  1.56 	  1014.27 	  1017.94 	    42.86 	    37.93 	     8.40 	     8.48 	 
  2.25 	  1032.21 	  1033.33 	    44.31 	    40.41 	     9.30 	     9.53 	 
  2.94 	  1034.93 	  1012.16 	    45.42 	    42.75 	    10.25 	    10.67 	 
  3.63 	  1037.46 	  1039.26 	    47.84 	    46.46 	    12.07 	    12.51 	 
  4.31 	  1019.04 	  1025.21 	    49.99 	    49.70 	    13.63 	    14.32 	 
  4.97 	  1027.83 	  1020.04 	    53.00 	    55.53 	    15.88 	    17.14 	 
  0.58 	   999.50 	   253.64 	    34.73 	    34.84 	     6.68 	     7.10 	 
  2.95 	  1026.28 	   255.33 	    39.22 	    37.01 	     7.59 	     7.91 	 
  5.31 	  1027.22 	   257.93 	    39.69 	    39.06 	     8.63 	     8.92 	 
  7.68 	  1027.59 	   258.27 	    40.46 	    41.67 	     9.66 	    10.23 	 
 10.04 	  1033.52 	   257.96 	    41.81 	    45.33 	    11.00 	    11.99 	 
 12.38 	  1028.30 	   257.32 	    43.55 	    49.93 	    12.91 	    14.35 	 
 14.71 	  1030.81 	   257.23 	    46.51 	    57.24 	    15.72 	    17.98 	 
 17.02 	  1026.26 	   257.38 	    51.32 	    68.61 	    20.43 	    23.71 	 
  0.03 	   827.09 	  4410.27 	    38.65 	    31.38 	     6.90 	     7.23 	 
  0.14 	  1094.02 	  4120.72 	    49.27 	    38.20 	     7.68 	     7.85 	 
  0.24 	  1028.87 	  4034.60 	    46.58 	    38.08 	     8.49 	     8.47 	 
  0.32 	  1068.57 	  4148.97 	    49.96 	    40.58 	     9.47 	     9.31 	 
  0.42 	  1048.11 	  4047.03 	    50.23 	    41.66 	    10.29 	    10.06 	 
  0.51 	  1042.52 	  4159.80 	    53.00 	    44.12 	    11.69 	    11.35 	 
  0.59 	  1037.85 	  3984.76 	    54.23 	    45.41 	    12.71 	    12.04 	 
  0.65 	  1030.97 	  4049.44 	    56.64 	    47.52 	    14.21 	    13.17 	 
  2.18 	  1027.28 	    63.41 	    34.26 	    36.25 	     6.77 	     7.64 	 
  5.99 	  1023.43 	    64.10 	    37.51 	    38.02 	     7.76 	     8.56 	 
  9.79 	  1030.68 	    64.42 	    37.51 	    40.59 	     8.72 	     9.77 	 
 13.59 	  1027.93 	    64.53 	    38.11 	    43.63 	    10.02 	    11.32 	 
 17.38 	  1026.63 	    64.32 	    39.03 	    47.80 	    11.67 	    13.42 	 
 21.17 	  1031.26 	    64.43 	    40.28 	    54.19 	    13.97 	    16.57 	 
